t	axoaxoniccell	bistratifiedcell	cckcell	ivycell	ngfcell	olmcell	pyramidalcell	pvbasketcell	scacell	ca3cell	eccell
135.7	0	-5.32979	-2.97633	-0.00587482	0	1.09207	-0.00788791	-4.09011	1.11627e-05	-808.458	0
135.725	0	-5.06275	-2.89043	-0.00558495	0	0.891175	-0.00704984	-3.99367	1.49527e-05	-808.311	0
135.75	0	-4.79905	-2.80529	-0.00529176	0	0.698481	-0.00629586	-3.89432	1.87056e-05	-808.094	0
135.775	0	-4.53916	-2.72103	-0.00499625	0	0.512265	-0.00561745	-3.79325	2.2416e-05	-807.812	0
135.8	0	-4.2834	-2.63773	-0.00469922	0	0.329671	-0.00500731	-3.69131	2.608e-05	-807.465	0
135.825	0	-4.03202	-2.55546	-0.00440134	0	0.147705	-0.00445902	-3.58911	2.96953e-05	-807.059	0
135.85	0	-3.78519	-2.47425	-0.00410321	0	-0.0352715	-0.00396677	-3.48713	3.32601e-05	-806.594	0
135.875	0	-3.54304	-2.39415	-0.00380538	0	-0.216661	-0.00352538	-3.38569	3.67735e-05	-806.075	0
135.9	0	-3.30566	-2.3152	-0.00350837	0	-0.390127	-0.0031301	-3.3357	4.02347e-05	-805.504	0
135.925	0	-3.07271	-2.23646	-0.00321205	0	-0.547565	-0.00277659	-3.31779	4.36468e-05	-804.882	0
135.95	0	-2.84353	-2.15773	-0.00291604	0	-0.68213	-0.00246088	-3.31994	4.70198e-05	-804.211	0
135.975	0	-2.61775	-2.07918	-0.00262038	0	-0.791999	-0.00217937	-3.2868	5.03643e-05	-803.491	0
136	0	-2.39572	-2.00188	-0.00232588	0	-0.879181	-0.00192871	-3.23099	5.36812e-05	-802.726	0
136.025	0	-2.1782	-1.92624	-0.0020338	0	-0.946964	-0.00170583	-3.15971	5.69601e-05	-801.919	0
136.05	0	-1.96577	-1.85234	-0.00174504	0	-0.998828	-0.00150792	-3.12094	6.01885e-05	-801.072	0
136.075	0	-1.75838	-1.77942	-0.00145982	0	-1.03793	-0.00133237	-3.05978	6.33612e-05	-800.187	0
136.1	0	-1.55594	-1.708	-0.00117842	0	-1.06689	-0.00117681	-3.02528	6.64803e-05	-799.266	0
136.125	0	-1.35842	-1.63766	-0.00090105	0	-1.08779	-0.00103909	-2.96676	6.95476e-05	-798.311	0
136.15	0	-1.16579	-1.56889	-0.000627945	0	-1.10225	-0.000917236	-2.93135	7.2563e-05	-797.774	0
136.175	0	-0.976036	-1.50122	-0.000358625	0	-1.11151	-0.000809487	-2.90833	7.56752e-05	-797.193	0
136.2	0	-0.790056	-1.4344	-9.25042e-05	0	-1.11653	-0.000714256	-2.85703	7.87762e-05	-796.572	0
136.225	0	-0.608319	-1.36916	0.00016955	0	-1.11807	-0.000630124	-2.78802	8.18528e-05	-796.813	0
136.25	0	-0.428781	-1.30571	0.000431285	0	-1.11672	-0.000555822	-2.70731	8.50337e-05	-797.447	0
136.275	0	-0.251045	-1.24388	0.000690198	0	-1.11297	-0.000490222	-2.61921	8.83445e-05	-798.017	0
136.3	0	-0.0770388	-1.1836	0.000945456	0	-1.10718	-0.000432317	-2.52666	9.16561e-05	-798.529	0
136.325	0	0.0925166	-1.12486	0.00119602	0	-1.09969	-0.000381217	-2.43175	9.49376e-05	-798.985	0
136.35	0	0.257276	-1.06765	0.00144139	0	-1.09073	-0.000336129	-2.33595	9.81695e-05	-799.387	0
136.375	0	0.417122	-1.01195	0.00168131	0	-1.08053	-0.000296353	-2.24028	0.000101342	-800.174	0
136.4	0	0.57224	-0.957724	0.00191776	0	-1.06927	-0.000261268	-2.17139	0.000104457	-800.899	0
136.425	0	0.722967	-0.904481	0.00215013	0	-1.0571	-0.000230323	-2.09347	0.000107521	-801.565	0
136.45	0	0.869424	-0.852486	0.00237807	0	-1.04414	-0.000203033	-2.01112	0.000110538	-802.172	0
136.475	0	1.01155	-0.80187	0.00260119	0	-1.03051	-0.00017897	-1.92625	0.000113504	-802.723	0
136.5	0	1.1493	-0.752597	0.00281932	0	-1.0163	-0.000157752	-1.84039	0.000116416	-803.22	0
136.525	0	1.28268	-0.704646	0.00303233	0	-1.00161	-0.000139045	-1.75451	0.000119269	-803.663	0
136.55	0	1.41176	-0.657978	0.0032402	0	-0.986497	-0.000122553	-1.6693	0.000122062	-804.055	0
136.575	0	1.53663	-0.612555	0.00344294	0	-0.971036	-0.000108015	-1.58522	0.000124795	-804.396	0
136.6	0	1.65737	-0.568338	0.00364059	0	-0.955284	-9.51988e-05	-1.52065	0.000127469	-804.688	0
136.625	0	1.77421	-0.525	0.00383342	0	-0.939293	-8.39021e-05	-1.45021	0.000130084	-804.93	0
136.65	0	1.88735	-0.48272	0.00402157	0	-0.92311	-7.39447e-05	-1.37715	0.000132645	-805.125	0
136.675	0	1.99682	-0.441583	0.00420502	0	-0.906779	-6.51682e-05	-1.31824	0.000135153	-805.272	0
136.7	0	2.10273	-0.401317	0.00438392	0	-0.890336	-5.74328e-05	-1.25257	0.000137607	-805.374	0
136.725	0	2.2052	-0.362084	0.00455838	0	-0.873818	-5.06151e-05	-1.18358	0.000140009	-805.43	0
136.75	0	2.30424	-0.323947	0.00472834	0	-0.857255	-4.46065e-05	-1.11284	0.00014236	-805.441	0
136.775	0	2.39986	-0.286877	0.0048938	0	-0.840677	-3.9311e-05	-1.04157	0.000144659	-805.87	0
136.8	0	2.49212	-0.250843	0.00505489	0	-0.824109	-3.4644e-05	-0.970524	0.000146904	-806.246	0
136.825	0	2.58112	-0.215799	0.0052118	0	-0.807576	-3.0531e-05	-0.900181	0.000149098	-806.571	0
136.85	0	2.66695	-0.181698	0.00536466	0	-0.7911	-2.69063e-05	-0.830852	0.00015124	-806.846	0
136.875	0	2.74972	-0.148498	0.00551354	0	-0.774701	-2.37119e-05	-0.771663	0.000153331	-807.072	0
136.9	0	2.82957	-0.116032	0.00565859	0	-0.758397	-2.08969e-05	-0.70961	0.000155375	-807.251	0
136.925	0	2.90663	-0.0843768	0.00579989	0	-0.742203	-1.84161e-05	-0.64657	0.000157373	-807.382	0
136.95	0	2.98097	-0.0535603	0.00593746	0	-0.726136	-1.62299e-05	-0.58334	0.000159326	-807.467	0
136.975	0	3.05261	-0.0235583	0.00607134	0	-0.710207	-1.43033e-05	-0.520536	0.000161235	-807.507	0
137	0	3.12162	0.00564924	0.00620156	0	-0.69443	-1.26055e-05	-0.46382	0.0001631	-807.503	0
137.025	0	3.18809	0.034162	0.00632823	0	-0.678814	-1.11094e-05	-0.405227	0.000164922	-807.455	0
137.05	0	3.25212	0.0619372	0.00645141	0	-0.663371	-9.79086e-06	-0.350091	0.000166702	-807.365	0
137.075	0	3.31375	0.0890186	0.00657118	0	-0.648109	-8.62893e-06	-0.292701	0.000168441	-807.233	0
137.1	0	3.37306	0.115377	0.00668758	0	-0.633035	-7.60497e-06	-0.234591	0.00017014	-807.06	0
137.125	0	3.43007	0.14101	0.00680064	0	-0.618157	-6.7026e-06	-0.176521	0.000171799	-806.846	0
137.15	0	3.48482	0.16594	0.00691041	0	-0.603481	-5.90736e-06	-0.119025	0.000173419	-806.593	0
137.175	0	3.53737	0.190192	0.00701693	0	-0.589013	-5.20655e-06	-0.0624242	0.000174999	-806.301	0
137.2	0	3.58778	0.213788	0.00712027	0	-0.574756	-4.58893e-06	-0.00691864	0.00017654	-805.972	0
137.225	0	3.63611	0.23675	0.00722051	0	-0.560715	-4.04463e-06	0.0473775	0.000178043	-805.605	0
137.25	0	3.68242	0.259102	0.0073177	0	-0.546894	-3.56494e-06	0.103762	0.000179508	-805.614	0
137.275	0	3.72764	0.280916	0.007412	0	-0.533291	-3.14218e-06	0.160755	0.000180964	-805.578	0
137.3	0	3.77124	0.302246	0.00750362	0	-0.519907	-2.7696e-06	0.222089	0.000182421	-805.498	0
137.325	0	3.81319	0.322971	0.0075926	0	-0.506744	-2.44123e-06	0.283009	0.000183862	-805.376	0
137.35	0	3.85343	0.343126	0.00767891	0	-0.493804	-2.15183e-06	0.346335	0.000185278	-805.616	0
137.375	0	3.89283	0.362702	0.00776656	0	-0.481089	-1.89676e-06	0.408014	0.000186694	-805.804	0
137.4	0	3.93095	0.381757	0.00785326	0	-0.468599	-1.67195e-06	0.467953	0.000188128	-805.942	0
137.425	0	3.96772	0.400348	0.0079384	0	-0.456335	-1.47381e-06	0.52603	0.000189563	-806.031	0
137.45	0	4.00308	0.418497	0.00802163	0	-0.444298	-1.29917e-06	0.582269	0.00019099	-806.074	0
137.475	0	4.03704	0.436218	0.00810283	0	-0.432487	-1.14525e-06	0.642731	0.000192402	-806.072	0
137.5	0	4.06955	0.453437	0.00818184	0	-0.420901	-1.00957e-06	0.70679	0.000193794	-806.45	0
137.525	0	4.10131	0.470119	0.00825904	0	-0.409535	-8.89984e-07	0.767141	0.000195161	-806.776	0
137.55	0	4.13203	0.486354	0.00833465	0	-0.398387	-7.84575e-07	0.824568	0.000196501	-807.052	0
137.575	0	4.1616	0.502197	0.00840836	0	-0.387456	-6.91661e-07	0.879409	0.000197813	-807.279	0
137.6	0	4.19	0.51767	0.00848008	0	-0.37674	-6.0976e-07	0.932	0.000199096	-807.458	0
137.625	0	4.21722	0.532792	0.00854977	0	-0.366238	-5.37565e-07	0.982599	0.000200351	-807.589	0
137.65	0	4.24326	0.547573	0.00861745	0	-0.35595	-4.73926e-07	1.03142	0.000201579	-807.675	0
137.675	0	4.26814	0.562024	0.00868314	0	-0.345871	-4.17827e-07	1.07865	0.000202779	-807.715	0
137.7	0	4.29187	0.57615	0.00874686	0	-0.336002	-3.68374e-07	1.12443	0.000203953	-807.71	0
137.725	0	4.31448	0.589958	0.00880863	0	-0.326338	-3.24779e-07	1.17958	0.000205101	-807.662	0
137.75	0	4.33593	0.603314	0.00886841	0	-0.316879	-2.86347e-07	1.23054	0.000206222	-807.572	0
137.775	0	4.35621	0.616303	0.00892618	0	-0.307621	-2.52467e-07	1.27869	0.000207315	-807.439	0
137.8	0	4.37534	0.628984	0.008982	0	-0.298562	-2.22599e-07	1.3244	0.00020838	-807.266	0
137.825	0	4.39339	0.641367	0.00903593	0	-0.289698	-1.96268e-07	1.36809	0.000209418	-807.052	0
137.85	0	4.4104	0.653465	0.00908802	0	-0.281028	-1.73054e-07	1.41003	0.00021043	-806.798	0
137.875	0	4.42639	0.665286	0.00913832	0	-0.272549	-1.52587e-07	1.45045	0.000211418	-806.506	0
137.9	0	4.4414	0.676836	0.00918689	0	-0.264256	-1.34543e-07	1.48951	0.00021238	-806.175	0
137.925	0	4.45547	0.688119	0.00923376	0	-0.256148	-1.18635e-07	1.52736	0.000213319	-805.806	0
137.95	0	4.46861	0.699141	0.00927897	0	-0.248222	-1.04609e-07	1.56409	0.000214234	-805.4	0
137.975	0	4.48085	0.709906	0.00932255	0	-0.240473	-9.22423e-08	1.59979	0.000215125	-804.958	0
138	0	4.49221	0.720419	0.00936454	0	-0.232899	-8.13389e-08	1.63453	0.000215994	-804.481	0
138.025	0	4.50271	0.730683	0.00940496	0	-0.225498	-7.17252e-08	1.68405	0.00021684	-804.364	0
138.05	0	4.51262	0.740519	0.00944469	0	-0.218265	-6.32487e-08	1.72797	0.000217664	-804.202	0
138.075	0	4.52208	0.750056	0.00948385	0	-0.211197	-5.57747e-08	1.76842	0.000218466	-803.996	0
138.1	0	4.53094	0.759378	0.00952214	0	-0.204293	-4.91845e-08	1.80601	0.000219249	-804.163	0
138.125	0	4.53945	0.7685	0.00955942	0	-0.197543	-4.33735e-08	1.8414	0.000220015	-804.28	0
138.15	0	4.54748	0.777448	0.00959561	0	-0.190942	-3.82495e-08	1.87506	0.000220766	-804.35	0
138.175	0	4.55502	0.786238	0.0096307	0	-0.184487	-3.37313e-08	1.90735	0.000221502	-804.374	0
138.2	0	4.56203	0.794877	0.00966467	0	-0.178175	-2.97472e-08	1.93849	0.000222222	-804.353	0
138.225	0	4.56851	0.803368	0.00969751	0	-0.172003	-2.62339e-08	1.96866	0.000222928	-804.287	0
138.25	0	4.57444	0.811711	0.00972924	0	-0.16597	-2.31359e-08	1.99799	0.000223619	-804.178	0
138.275	0	4.57982	0.819905	0.00975984	0	-0.160073	-2.04039e-08	2.02656	0.000224295	-804.026	0
138.3	0	4.58465	0.82795	0.00978934	0	-0.154308	-1.79947e-08	2.05444	0.000224956	-803.833	0
138.325	0	4.58893	0.835844	0.00981772	0	-0.148675	-1.58702e-08	2.08168	0.000225602	-803.598	0
138.35	0	4.59265	0.843586	0.00984499	0	-0.143169	-1.39966e-08	2.10831	0.000226232	-803.324	0
138.375	0	4.59582	0.851177	0.00987117	0	-0.137788	-1.23444e-08	2.13437	0.000226847	-803.01	0
138.4	0	4.59845	0.858614	0.00989626	0	-0.13253	-1.08873e-08	2.15987	0.000227446	-802.657	0
138.425	0	4.60053	0.865899	0.00992026	0	-0.127392	-9.60231e-09	2.18484	0.00022803	-802.267	0
138.45	0	4.60207	0.873031	0.00994319	0	-0.122372	-8.46906e-09	2.20928	0.000228598	-801.839	0
138.475	0	4.60309	0.880012	0.00996505	0	-0.117468	-7.46962e-09	2.2332	0.00022915	-801.375	0
138.5	0	4.60358	0.886841	0.00998585	0	-0.112675	-6.58819e-09	2.25662	0.000229686	-800.876	0
138.525	0	4.60355	0.893519	0.0100056	0	-0.107993	-5.81082e-09	2.27954	0.000230206	-800.341	0
138.55	0	4.60301	0.900049	0.0100243	0	-0.103419	-5.12523e-09	2.30198	0.000230711	-799.771	0
